structure,type,seas_adj,date,value
ks_i11_econ_hist_q,index,na,2001-04-01,35.64284954495833
ks_i11_econ_hist_q,index,na,2001-07-01,21.735812357949772
ks_i11_econ_hist_q,index,na,2001-10-01,-53.8269985374005
ks_i11_econ_hist_q,index,na,2002-01-01,-52.030794692466145
ks_i11_econ_hist_q,index,na,2002-04-01,-36.59016016377954
ks_i11_econ_hist_q,index,na,2002-07-01,-50.325901339584114
ks_i11_econ_hist_q,index,na,2002-10-01,-103.83324497784805
ks_i11_econ_hist_q,index,na,2003-01-01,-83.25252821153104
ks_i11_econ_hist_q,index,na,2003-04-01,-101.20407904591363
ks_i11_econ_hist_q,index,na,2003-07-01,-92.34457981310571
ks_i11_econ_hist_q,index,na,2003-10-01,-66.04737398179715
ks_i11_econ_hist_q,index,na,2004-01-01,-58.56463178786878
ks_i11_econ_hist_q,index,na,2004-04-01,-28.73429477214511
ks_i11_econ_hist_q,index,na,2004-07-01,-22.011097503206745
ks_i11_econ_hist_q,index,na,2004-10-01,-33.43171031657722
ks_i11_econ_hist_q,index,na,2005-01-01,-30.712861318380824
ks_i11_econ_hist_q,index,na,2005-04-01,-26.546420515343822
ks_i11_econ_hist_q,index,na,2005-07-01,-37.8234950455559
ks_i11_econ_hist_q,index,na,2005-10-01,-35.564133453355176
ks_i11_econ_hist_q,index,na,2006-01-01,-2.5124902608669117
ks_i11_econ_hist_q,index,na,2006-04-01,12.953407913964982
ks_i11_econ_hist_q,index,na,2006-07-01,31.80590821387093
ks_i11_econ_hist_q,index,na,2006-10-01,38.55031167150024
ks_i11_econ_hist_q,index,na,2007-01-01,41.05281002511974
ks_i11_econ_hist_q,index,na,2007-04-01,45.59614213486539
ks_i11_econ_hist_q,index,na,2007-07-01,40.97807577686894
ks_i11_econ_hist_q,index,na,2007-10-01,33.201795453418804
ks_i11_econ_hist_q,index,na,2008-01-01,28.16177374673043
ks_i11_econ_hist_q,index,na,2008-04-01,-0.14954130056445436
ks_i11_econ_hist_q,index,na,2008-07-01,-27.607187230563884
ks_i11_econ_hist_q,index,na,2008-10-01,-59.923372061992616
ks_i11_econ_hist_q,index,na,2009-01-01,-66.49752300174623
ks_i11_econ_hist_q,index,na,2009-04-01,-98.81904612420948
ks_i11_econ_hist_q,index,na,2009-07-01,-102.7907833963029
ks_i11_econ_hist_q,index,na,2009-10-01,-77.2090355456475
ks_i11_econ_hist_q,index,na,2010-01-01,-60.807207591728826
ks_i11_econ_hist_q,index,na,2010-04-01,-9.870980826904647
ks_i11_econ_hist_q,index,na,2010-07-01,2.7604052062931252
ks_i11_econ_hist_q,index,na,2010-10-01,13.21368920259285
ks_i11_econ_hist_q,index,na,2011-01-01,14.13840850923716
ks_i11_econ_hist_q,index,na,2011-04-01,10.279293119151761
ks_i11_econ_hist_q,index,na,2011-07-01,-7.6086441070207576
ks_i11_econ_hist_q,index,na,2011-10-01,-44.13928451924012
ks_i11_econ_hist_q,index,na,2012-01-01,-49.626084301835256
ks_i11_econ_hist_q,index,na,2012-04-01,-20.174391017805515
ks_i11_econ_hist_q,index,na,2012-07-01,-26.65042129534967
ks_i11_econ_hist_q,index,na,2012-10-01,-24.493376446792194
ks_i11_econ_hist_q,index,na,2013-01-01,-12.252204786475644
ks_i11_econ_hist_q,index,na,2013-04-01,-9.136225311464887
ks_i11_econ_hist_q,index,na,2013-07-01,-11.725370403979614
ks_i11_econ_hist_q,index,na,2013-10-01,0.21230537946006356
ks_i11_econ_hist_q,index,na,2014-01-01,9.316368799535772
ks_i11_econ_hist_q,index,na,2014-04-01,2.9437656187191656
ks_i11_econ_hist_q,index,na,2014-07-01,4.412717495365776
ks_i11_econ_hist_q,index,na,2014-10-01,-11.49243795049202
ks_i11_econ_hist_q,index,na,2015-01-01,-1.5839851540888246
ks_i11_econ_hist_q,index,na,2015-04-01,-24.508614291874665
ks_i11_econ_hist_q,index,na,2015-07-01,-38.109198079796954
ks_i11_econ_hist_q,index,na,2015-10-01,-32.075227903452465
ks_i11_econ_hist_q,index,na,2016-01-01,-37.20290586731305
ks_i11_econ_hist_q,index,na,2016-04-01,-32.863043766401965
ks_i11_econ_hist_q,index,na,2016-07-01,-29.979428205933033
ks_i11_econ_hist_q,index,na,2016-10-01,-20.86813079623976
ks_i11_econ_hist_q,index,na,2017-01-01,-11.20447338322978
ks_i11_econ_hist_q,index,na,2017-04-01,-8.147638302891746
ks_i11_econ_hist_q,index,na,2017-07-01,7.159357752950015
ks_i11_econ_hist_q,index,na,2017-10-01,10.839259278727932
ks_i11_econ_hist_q,index,na,2018-01-01,21.924369807392473
ks_i11_econ_hist_q,index,na,2018-04-01,16.021629368450697
ks_i11_econ_hist_q,index,na,2018-07-01,10.890551564228145
ks_i11_econ_hist_q,index,na,2018-10-01,15.8548566779086
ks_i11_econ_hist_q,index,na,2019-01-01,6.820843072466422
ks_i11_econ_hist_q,index,na,2019-04-01,2.4475097391330882
ks_i11_econ_hist_q,index,na,2019-07-01,1.8105113704544582
ks_i11_econ_hist_q,index,na,2019-10-01,-12.996361228608848
ks_i11_econ_hist_q,index,na,2020-01-01,3.5907961241096142
ks_i11_econ_hist_q,index,na,2020-04-01,-42.74981496421103
ks_i11_econ_hist_q,index,na,2020-07-01,-89.8636807370574
ks_i11_econ_hist_q,index,na,2020-10-01,-96.77121119109947
ks_i11_econ_hist_q,index,na,2021-01-01,-96.55931300334183
ks_i11_econ_hist_q,index,na,2021-04-01,-92.80451867444229
ks_i11_econ_hist_q,index,na,2021-07-01,-44.212895119166504
ks_i11_econ_hist_q,index,na,2021-10-01,-22.17776222739411
ks_i11_econ_hist_q,index,na,2022-01-01,-25.30494309105559
ks_i11_econ_hist_q,index,na,2022-04-01,-27.407712389953247
ks_i11_econ_hist_q,index,na,2022-07-01,-54.32847089040686
ks_i11_econ_hist_q,index,na,2022-10-01,-62.42199252331035
ks_i11_econ_hist_q,index,na,2023-01-01,-51.53209810400416
ks_i11_econ_hist_q,index,na,2023-04-01,-53.99008797297368
ks_i11_econ_hist_q,index,na,2023-07-01,-37.33114311060785
ks_i11_econ_hist_q,index,na,2023-10-01,-69.74253720922371
ks_i11_econ_hist_q,index,na,2024-01-01,-50.070903733279856
ks_i11_econ_hist_q,index,na,2024-04-01,-42.25921299169001
ks_i11_econ_hist_q,index,na,2024-07-01,-31.622999191281902
ks_i11_econ_hist_q,index,na,2024-10-01,-46.00324748374797
ks_i11_econ_hist_q,index,na,2025-01-01,-34.124848037253734
ks_i11_econ_hist_q,index,na,2025-04-01,-53.31272958855845
ks_i12_econ_exp_q,index,na,1972-10-01,-17.612283341771587
ks_i12_econ_exp_q,index,na,1973-01-01,-25.562824905127975
ks_i12_econ_exp_q,index,na,1973-04-01,-28.28521089437715
ks_i12_econ_exp_q,index,na,1973-07-01,-24.869402604405117
ks_i12_econ_exp_q,index,na,1973-10-01,-46.36203066338065
ks_i12_econ_exp_q,index,na,1974-01-01,-44.865964461432085
ks_i12_econ_exp_q,index,na,1974-04-01,-63.425310520778154
ks_i12_econ_exp_q,index,na,1974-07-01,-50.620890170486234
ks_i12_econ_exp_q,index,na,1974-10-01,-74.03250183692468
ks_i12_econ_exp_q,index,na,1975-01-01,-61.28104174607459
ks_i12_econ_exp_q,index,na,1975-04-01,-48.010522958471
ks_i12_econ_exp_q,index,na,1975-07-01,-32.86278481119361
ks_i12_econ_exp_q,index,na,1975-10-01,-50.89507049053812
