Brand,Model,Preis,Jahr,Kilometer,PS,Getriebe
BMW,i4 M50,94600.00,Neues Fahrzeug,10,544,Automatikgetriebe
BMW,X3 M40i,48900.00,06.2021,73000,360,Automatikgetriebe
BMW,i4 M50,94400.00,Neues Fahrzeug,10,544,Automatikgetriebe
BMW,M4 Competition xDrive Cabrio,139600.00,Neues Fahrzeug,10,530,Automatikgetriebe
BMW,330e xDrive Touring,33950.00,12.2022,67000,292,Automatikgetriebe
BMW,340i xDrive Touring Edition M Sport Steptronic,31800.00,11.2018,117000,326,Automatikgetriebe
BMW,X7 xDrive 48V 40d M Sport Pro Steptronic,155890.00,03.2025,3500,340,Automatikgetriebe
BMW,225xe iPerformance Active Tourer Steptronic Sport Line,,07.2021,83000,224,Automatikgetriebe
BMW,X3 xDrive 20d Steptronic ** Teil-Leder ** Gr-Navi ** RF-Kamera ** Totwinkel-Assist ** HUD ** Frisch Ab MFK & Service **,21800.00,09.2018,133000,190,Automatikgetriebe
BMW,225xe iPerformance Active Tourer Steptronic Sport Line,23800.00,07.2021,66150,224,Automatikgetriebe
BMW,225xe iPerformance Active Tourer Sport Line Steptronic,22800.00,07.2021,75500,220,Automatikgetriebe
BMW,BMW BMW X1 xDrive 20d xLine Steptronic ** Leder ** Grand Navigation ** RF Kamera ** PR Glasdach ** Sitzmemory **,,10.2021,117000,190,Automatikgetriebe
BMW,650i Cabrio,20900.00,01.2012,183000,408,Automatikgetriebe
BMW,X5 xDrive45e M Sport Steptronic,49890.00,12.2020,76500,394,Automatikgetriebe
BMW,Z4 sDrive20i Steptronic,19900.00,02.2016,69500,184,Automatikgetriebe
BMW,X5 xDrive50e,123900.00,Neues Fahrzeug,20,489,Automatikgetriebe
BMW,116d Steptronic,16900.00,10.2021,124000,116,Automatikgetriebe
BMW,iX1 30 xDrive,74100.00,Neues Fahrzeug,10,306,Automatikgetriebe
BMW,223 Active Tourer 223d xDrive paddles Active Tourer,67100.00,Neues Fahrzeug,20,211,Automatikgetriebe
BMW,223d xDrive Active Tourer,33250.00,05.2023,55000,211,Automatikgetriebe
BMW,530d xDrive Touring Pure ///M Sport Paket,59500.00,11.2023,17700,296,Automatikgetriebe
BMW,iX M60,74999.00,11.2022,35000,598,Automatikgetriebe
BMW,X2 M35i,84400.00,Neues Fahrzeug,10,300,Automatikgetriebe
BMW,520d xDrive Touring ///M Sport,62900.00,06.2024,32000,208,Automatikgetriebe
BMW,iX xDrive60,131500.00,Neues Fahrzeug,20,544,Automatikgetriebe
BMW,X3 xDrive M50 48V M Sport Pro,87900.00,11.2024,12000,398,Automatikgetriebe
BMW,X6 xDrive 35i Steptronic,13800.00,05.2009,173000,306,Automatikgetriebe
BMW,135i Cabrio DSG,8800.00,11.2012,108000,306,Automatikgetriebe
BMW,X6 xDrive 48V 40d Steptronic M Sport,58900.00,01.2021,96800,340,Automatikgetriebe
BMW,X1 20d xDrive,22900.00,07.2020,132300,190,Automatikgetriebe
BMW,X3 xDrive 48V 20d,68900.00,Neues Fahrzeug,10,197,Automatikgetriebe
BMW,"X5 xDrive45e M Sport Steptronic - ""Sièges M * Toit Ouvrant * Caméra 360' * Jantes 21' + 20' * Head-Up Display""",58990.00,01.2022,72490,394,Automatikgetriebe
BMW,520d xDrive 48V Touring M Sport Steptronic,39990.00,03.2021,60000,190,Automatikgetriebe
BMW,X5 xDrive 48V 40d M Sport Steptronic,,04.2023,36500,340,Automatikgetriebe
BMW,X3 xDrive 20 48V M Sport,,11.2024,5000,208,Automatikgetriebe
BMW,328i Sport Line Steptronic,14900.00,04.2014,147890,245,Automatikgetriebe
BMW,X3 xDrive 48V 20d M Sport Pro,79999.00,Neues Fahrzeug,21,197,Automatikgetriebe
BMW,120d xDrive Steptronic M Sport,18900.00,12.2019,143000,190,Automatikgetriebe
BMW,530e xDr Tour PureM Sport,41900.00,06.2022,40800,183,Automatikgetriebe
BMW,i5 M60 xDrive,76900.00,10.2023,27000,601,Automatikgetriebe
BMW,X3 xDrive 30i Luxury Line,32500.00,11.2019,93150,252,Automatikgetriebe
BMW,M340d xDrive 48V Touring,49900.00,04.2022,49500,340,Automatikgetriebe
BMW,X5 xDrive 48V 40i M Sport,57900.00,04.2021,64000,333,Automatikgetriebe
BMW,430i Coupé xDrive Sport Line Steptronic,29998.00,09.2019,60000,252,Automatikgetriebe
BMW,iX2 eDrive 20 M Sport,61600.00,Neues Fahrzeug,10,204,Automatikgetriebe
BMW,X3 xDr 48V30d PureM Sport,47900.00,07.2021,80300,286,Automatikgetriebe
BMW,520d xDrive 48V Touring,,06.2023,31500,190,Automatikgetriebe
BMW,225e xDr. Act. T. Luxury,,11.2022,29000,136,Automatikgetriebe
BMW,M3 Touring xDrive Competition M *CH Fahrzeug*,104900.00,04.2024,9000,510,Automatikgetriebe
BMW,X3 xDrive 30i xLine Steptronic / Vollaustattung / Panoramadch / Auto aus erster Hand/Anhängerkupplung,36500.00,01.2019,44000,252,Automatikgetriebe
